"date","vol_det","vol_pred_15","vol_pred_30","vol_pred_45","vol_pred_60","vol_pred_75","vol_pred_90","vol_pred_105","vol_pred_120"
"2017-11-13 00:00",2.14285714286,4,1,0,6,2,5,5,6
"2017-11-13 00:01",2.4,1,2,0,4,2,1,3,2
"2017-11-13 00:02",2.53333333333,4,5,5,4,4,2,2,1
"2017-11-13 00:03",2.66666666667,4,0,5,3,4,2,3,5
"2017-11-13 00:04",2.93333333333,2,3,2,7,3,3,5,4
"2017-11-13 00:05",3.06666666667,2,4,0,4,2,2,0,3
"2017-11-13 00:06",2.8,0,1,3,4,3,5,3,2
"2017-11-13 00:07",2.8,4,5,2,3,3,3,2,2
"2017-11-13 00:08",3.06666666667,3,5,0,4,3,3,2,1
"2017-11-13 00:09",3.2,4,2,2,2,2,1,3,5
"2017-11-13 00:10",2.93333333333,1,1,4,4,1,0,2,2
"2017-11-13 00:11",2.93333333333,1,2,4,4,1,1,2,1
"2017-11-13 00:12",2.66666666667,0,2,1,1,1,1,1,2
"2017-11-13 00:13",2.53333333333,3,1,0,2,1,0,1,3
"2017-11-13 00:14",2.66666666667,2,0,2,0,1,2,2,0
"2017-11-13 00:15",2.53333333333,1,0,1,0,0,1,1,3
"2017-11-13 00:16",2.66666666667,0,0,0,2,2,1,0,0
"2017-11-13 00:17",3.46666666667,1,0,1,2,0,0,1,2
"2017-11-13 00:18",3.33333333333,2,3,1,2,0,0,2,1
"2017-11-13 00:19",2.8,0,1,3,1,0,1,1,0
"2017-11-13 00:20",2.53333333333,1,0,0,0,0,0,1,3
"2017-11-13 00:21",2.66666666667,0,1,2,1,1,1,1,3
"2017-11-13 00:22",2.8,2,2,4,0,1,2,0,0
"2017-11-13 00:23",2.66666666667,1,3,1,0,2,4,2,0
"2017-11-13 00:24",2.53333333333,3,1,0,3,1,2,5,1
"2017-11-13 00:25",2.8,3,1,1,1,0,2,0,3
"2017-11-13 00:26",2.93333333333,0,1,1,0,2,1,0,2
"2017-11-13 00:27",3.2,0,2,2,5,1,4,2,0
"2017-11-13 00:28",3.2,4,2,5,2,4,2,1,1
"2017-11-13 00:29",2.93333333333,3,5,2,4,0,1,3,2
"2017-11-13 00:30",2.93333333333,4,4,0,1,4,1,0,3
"2017-11-13 00:31",2.66666666667,1,2,0,1,1,1,3,1
"2017-11-13 00:32",1.73333333333,2,0,1,1,1,6,4,1
"2017-11-13 00:33",1.73333333333,2,1,2,1,2,3,2,4
"2017-11-13 00:34",1.86666666667,0,0,1,2,1,1,1,2
"2017-11-13 00:35",2,2,1,1,1,4,3,3,3
"2017-11-13 00:36",2,2,1,1,2,2,4,1,1
"2017-11-13 00:37",2,2,3,5,3,4,2,4,1
"2017-11-13 00:38",1.86666666667,4,1,3,1,3,2,0,1
"2017-11-13 00:39",1.86666666667,1,3,0,1,4,4,2,3
"2017-11-13 00:40",2.26666666667,1,1,2,2,0,2,1,2
"2017-11-13 00:41",2.13333333333,2,2,0,0,2,1,3,2
"2017-11-13 00:42",2,3,0,4,0,3,0,1,3
"2017-11-13 00:43",2,2,2,1,2,1,1,1,1
"2017-11-13 00:44",2,0,1,4,3,1,1,2,1
"2017-11-13 00:45",1.86666666667,0,2,4,0,2,2,1,1
"2017-11-13 00:46",1.86666666667,0,2,1,2,2,1,1,0
"2017-11-13 00:47",2.13333333333,2,2,1,2,2,1,2,3
"2017-11-13 00:48",2.13333333333,4,3,2,2,4,3,4,3
"2017-11-13 00:49",2.13333333333,0,1,3,1,1,1,2,1
"2017-11-13 00:50",2,1,0,1,2,2,1,0,3
"2017-11-13 00:51",1.86666666667,1,1,3,5,1,1,1,3
"2017-11-13 00:52",2.13333333333,3,1,1,0,0,6,2,0
"2017-11-13 00:53",2,3,4,0,0,0,3,1,2
"2017-11-13 00:54",2.13333333333,2,3,1,3,2,1,2,3
"2017-11-13 00:55",1.6,4,3,1,1,4,1,1,3
"2017-11-13 00:56",1.46666666667,0,1,7,3,1,3,2,2
"2017-11-13 00:57",1.46666666667,3,1,2,3,0,0,1,2
"2017-11-13 00:58",1.57142857143,2,1,1,1,4,1,2,3
"2017-11-13 00:59",1.73333333333,4,0,2,5,0,2,2,2
"2017-11-13 01:00",1.85714285714,0,3,0,2,0,2,1,0
"2017-11-13 01:01",2,2,2,0,0,2,2,1,4
"2017-11-13 01:02",1.86666666667,3,0,2,1,1,2,1,0
"2017-11-13 01:03",2.13333333333,2,3,0,2,2,5,2,1
"2017-11-13 01:04",2.26666666667,2,0,1,4,1,1,2,0
"2017-11-13 01:05",2.26666666667,0,2,1,4,1,3,2,3
"2017-11-13 01:06",2.4,1,1,1,1,1,2,1,4
"2017-11-13 01:07",2,2,2,3,0,3,1,0,3
"2017-11-13 01:08",1.86666666667,1,5,4,0,1,2,7,2
"2017-11-13 01:09",2,1,0,2,0,1,0,2,2
"2017-11-13 01:10",2,2,1,1,2,2,2,4,2
"2017-11-13 01:11",2.13333333333,2,0,1,0,1,3,2,3
"2017-11-13 01:12",2.26666666667,0,1,2,3,2,2,0,0
"2017-11-13 01:13",2.13333333333,0,0,1,0,1,2,3,1
"2017-11-13 01:14",2,0,0,4,1,0,2,0,1
"2017-11-13 01:15",2,1,1,1,3,0,0,0,0
"2017-11-13 01:16",1.86666666667,0,2,1,1,2,0,2,0
"2017-11-13 01:17",1.86666666667,0,0,1,0,1,1,2,0
"2017-11-13 01:18",1.46666666667,0,0,1,3,1,1,0,0
"2017-11-13 01:19",1.33333333333,0,1,0,1,1,3,1,1
"2017-11-13 01:20",1.33333333333,2,1,0,2,0,0,2,2
"2017-11-13 01:21",1.2,1,0,1,1,5,0,2,1
