"abs_error_sp_15min","abs_error_sp_30min","abs_error_sp_45min","abs_error_sp_60min","abs_error_sp_75min","abs_error_sp_90min","abs_error_sp_105min","abs_error_sp_120min","rel_error_sp_15min","rel_error_sp_30min","rel_error_sp_45min","rel_error_sp_60min","rel_error_sp_75min","rel_error_sp_90min","rel_error_sp_105min","rel_error_sp_120min"
-2.2328571429,-2.2328571429,-2.2328571429,-2.2328571429,-2.2328571429,-2.2328571429,-2.2328571429,-2.2328571429,-3.32108025418908,-3.32108025418908,-3.32108025418908,-3.32108025418908,-3.32108025418908,-3.32108025418908,-3.32108025418908,-3.32108025418908
-2.786,-2.786,-2.786,-2.786,-2.786,-2.786,-2.786,-2.786,-4.10999321393798,-4.10999321393798,-4.10999321393798,-4.10999321393798,-4.10999321393798,-4.10999321393798,-4.10999321393798,-4.10999321393798
-3.49733333330001,-3.49733333330001,-3.49733333330001,-3.49733333330001,-3.49733333330001,-3.49733333330001,-3.49733333330001,-3.49733333330001,-5.10579487274693,-5.10579487274693,-5.10579487274693,-5.10579487274693,-5.10579487274693,-5.10579487274693,-5.10579487274693,-5.10579487274693
-3.80266666670001,-3.80266666670001,-3.80266666670001,-3.80266666670001,-3.80266666670001,-3.80266666670001,-3.80266666670001,-3.80266666670001,-5.52691756138061,-5.52691756138061,-5.52691756138061,-5.52691756138061,-5.52691756138061,-5.52691756138061,-5.52691756138061,-5.52691756138061
-4.108,-4.108,-4.108,-4.108,-4.108,-4.108,-4.108,-4.108,-5.94431903686983,-5.94431903686983,-5.94431903686983,-5.94431903686983,-5.94431903686983,-5.94431903686983,-5.94431903686983,-5.94431903686983
-4.69199999999999,-4.69199999999999,-4.69199999999999,-4.69199999999999,-4.69199999999999,-4.69199999999999,-4.69199999999999,-4.69199999999999,-6.73248005509957,-6.73248005509957,-6.73248005509957,-6.73248005509957,-6.73248005509957,-6.73248005509957,-6.73248005509957,-6.73248005509957
-4.95466666670001,-4.95466666670001,-4.95466666670001,-4.95466666670001,-4.95466666670001,-4.95466666670001,-4.95466666670001,-4.95466666670001,-7.08268211798733,-7.08268211798733,-7.08268211798733,-7.08268211798733,-7.08268211798733,-7.08268211798733,-7.08268211798733,-7.08268211798733
-5.2173333333,-5.2173333333,-5.2173333333,-5.2173333333,-5.2173333333,-5.2173333333,-5.2173333333,-5.2173333333,-7.43026413226907,-7.43026413226907,-7.43026413226907,-7.43026413226907,-7.43026413226907,-7.43026413226907,-7.43026413226907,-7.43026413226907
-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-5.48,-7.77525539160046,-7.77525539160046,-7.77525539160046,-7.77525539160046,-7.77525539160046,-7.77525539160046,-7.77525539160046,-7.77525539160046
-5.7426666667,-5.7426666667,-5.7426666667,-5.7426666667,-5.7426666667,-5.7426666667,-5.7426666667,-5.7426666667,-8.11768475417565,-8.11768475417565,-8.11768475417565,-8.11768475417565,-8.11768475417565,-8.11768475417565,-8.11768475417565,-8.11768475417565
-6.2973333333,-6.2973333333,-6.2973333333,-6.2973333333,-6.2973333333,-6.2973333333,-6.2973333333,-6.2973333333,-8.83249490392761,-8.83249490392761,-8.83249490392761,-8.83249490392761,-8.83249490392761,-8.83249490392761,-8.83249490392761,-8.83249490392761
-6.9133333333,-6.9133333333,-6.9133333333,-6.9133333333,-6.9133333333,-6.9133333333,-6.9133333333,-6.9133333333,-9.61342356536091,-9.61342356536091,-9.61342356536091,-9.61342356536091,-9.61342356536091,-9.61342356536091,-9.61342356536091,-9.61342356536091
-7.5353333333,-7.5353333333,-7.5353333333,-7.5353333333,-7.5353333333,-7.5353333333,-7.5353333333,-7.5353333333,-10.3885003170457,-10.3885003170457,-10.3885003170457,-10.3885003170457,-10.3885003170457,-10.3885003170457,-10.3885003170457,-10.3885003170457
-8.1573333333,-8.1573333333,-8.1573333333,-8.1573333333,-8.1573333333,-8.1573333333,-8.1573333333,-8.1573333333,-11.1503973171572,-11.1503973171572,-11.1503973171572,-11.1503973171572,-11.1503973171572,-11.1503973171572,-11.1503973171572,-11.1503973171572
-8.7793333333,-8.7793333333,-8.7793333333,-8.7793333333,-8.7793333333,-8.7793333333,-8.7793333333,-8.7793333333,-11.8994479031671,-11.8994479031671,-11.8994479031671,-11.8994479031671,-11.8994479031671,-11.8994479031671,-11.8994479031671,-11.8994479031671
-8.9893333333,-8.9893333333,-8.9893333333,-8.9893333333,-8.9893333333,-8.9893333333,-8.9893333333,-8.9893333333,-12.1494990268472,-12.1494990268472,-12.1494990268472,-12.1494990268472,-12.1494990268472,-12.1494990268472,-12.1494990268472,-12.1494990268472
-9.206,-9.206,-9.206,-9.206,-9.206,-9.206,-9.206,-9.206,-12.4060049052637,-12.4060049052637,-12.4060049052637,-12.4060049052637,-12.4060049052637,-12.4060049052637,-12.4060049052637,-12.4060049052637
-9.53,-9.53,-9.53,-9.53,-9.53,-9.53,-9.53,-9.53,-12.7867972628472,-12.7867972628472,-12.7867972628472,-12.7867972628472,-12.7867972628472,-12.7867972628472,-12.7867972628472,-12.7867972628472
-9.854,-9.854,-9.854,-9.854,-9.854,-9.854,-9.854,-9.854,-13.1642931573463,-13.1642931573463,-13.1642931573463,-13.1642931573463,-13.1642931573463,-13.1642931573463,-13.1642931573463,-13.1642931573463
